player_id,country_id,name,sex,hand,ht,year_of_birth
213714,SWE,Fanny Ostlund,female,R,,1997
211052,MEX,Zorayma Arreola,female,U,,1985
222203,GBR,Scarlett Hutchinson,female,U,,-1
222008,SUI,Karolina Kozakova,female,R,,-1
215283,USA,Taylor Gruber,female,U,,1999
105210,AUS,Zach Itzstein,male,R,,1988
210931,TPE,Ching Wen Hsu,female,R,,1996
216295,BUL,Nikol Dobrilova,female,U,,2001
220388,USA,Sharmada Iyer,female,R,,1999
222517,JPN,Mizuki Inose,female,U,,-1
205714,FRA,Julie Gervais,female,U,,1991
134677,PAR,Juan Borba,male,R,,1996
206922,GER,Luca Wiedenmann,male,U,,1998
216577,ITA,Ginevra Chiara,female,R,,1997
104714,GER,Julian Reister,male,R,188.0,1986
144773,DOM,Jose Olivares,male,,,1997
216306,MEX,Yunuen Elizarraras Bahena,female,U,,1999
122247,CAN,Andrew Ochotta,male,R,,1993
221228,GBR,Sasha Hill,female,U,,2001
231627,EGY,Habiba El_Anany,female,U,,-1
202503,THA,Luksika Kumkhum,female,R,,1993
223428,PUR,Beatriz Casaca,female,U,,-1
211663,IND,Amrita Mukherjee,female,R,,1994
220654,FIN,Sonja Keranen,female,R,,2000
221461,THA,Sirinat Niyomsub,female,U,,2000
241740,FIN,Serena Hatakka,female,U,,-1
220417,ESP,Helena Jansen Figueras,female,U,,1999
202681,CAN,Gabriela Dabrowski,female,R,,1992
206338,ITA,Stefania Rubini,female,U,,1992
201517,SVK,Magdalena Rybarikova,female,R,180.0,1988
213578,TUR,Oyku Boz,female,R,,1998
211133,RSA,Theresa Alison Van Zyl,female,U,,1996
200247,BUL,Alexandar Lazarov,male,R,,1997
222160,SUI,Sara Paunovic,female,U,,-1
201344,CZE,Klara Koukalova,female,R,166.0,1982
221443,FRA,Mathilde Lollia,female,U,,2000
126423,KOR,Hyeong Jin Cho,male,U,,1996
209945,ESP,Almudena Sanz Llaneza Fernandez,female,U,,1991
215965,IND,Sabhyata Nihalani,female,R,,2000
223406,CZE,Adela Moravcova,female,U,,-1
126774,GRE,Stefanos Tsitsipas,male,R,193.0,1998
223345,SLO,Sara Cizmic,female,U,,-1
223110,KAZ,Polina Dolgova,female,U,,-1
221658,UNK,Alicia Yue,female,U,,2000
216076,USA,Ashley Lahey,female,U,,1999
106314,AUS,Jack Schipanski,male,R,,1994
206824,MEX,Jose Pablo Andres Gomez,male,U,,1998
106149,POL,Maciej Smola,male,R,,1993
220730,ITA,Chiara Bordo,female,U,,1999
106043,ARG,Diego Schwartzman,male,R,170.0,1992
200687,GER,Kai Breitbach,male,U,,1998
122059,AUS,Steven De Waard,male,R,,1991
207293,UZB,Adil Karimov,male,R,,2001
209113,CAN,Gabriel Diallo,male,U,,2001
144701,FRA,Mathieu Perchicot,male,U,,1992
105692,ITA,Alessandro Bega,male,R,,1991
214873,USA,Victoria Flores,female,U,,1999
201311,ITA,Roberta Vinci,female,R,163.0,1983
220479,GER,Anna Schubries,female,U,,1994
223175,LUX,Liz Badde,female,U,,-1
215860,BRN,Nazli Nader Redha,female,U,,2001
223265,EGY,Kenzy Abdelaal,female,U,,-1
210860,USA,Jessica Wacnik,female,U,,1993
200454,GUD,Nicolas Ancedy,male,L,,1995
215051,FRA,Juliette Colard,female,U,,2000
219654,BRA,Isabela Campos Bifano,female,U,,2000
236968,ARG,Lourdes Ayala,female,U,,-1
220785,MAR,Sara Akid,female,U,,2003
206891,FRA,Baptiste Anselmo,male,U,,2001
213944,IND,Pranjala Yadlapalli,female,R,,1999
221974,TUN,Sarah Lisa Aubertin,female,U,,-1
210439,FIN,Ella Leivo,female,U,,1994
205974,ITA,Susanna Ciccone,female,R,,1995
104647,JPN,Bumpei Sato,male,R,,1985
221519,USA,Kelley Anderson,female,U,,1995
222637,SVK,Anika Jaskova,female,R,,-1
144967,CHI,Gonzalo Achondo,male,U,,1997
216572,ARG,Maria Jazmin Amicuzi,female,U,,1999
221380,UKR,Polina Gubina,female,R,,2002
220965,SVK,Laura Duhl,female,R,,2002
222816,USA,Mckenzie Davis,female,U,,-1
222022,USA,Shanetta Wilkins,female,U,,-1
133872,ITA,Enrico Dalla Valle,male,U,,1998
216258,ISR,Liron Sasson,female,U,,1998
